summary_item,count,severity,finding,suggested_action,examples,notes
blocking_items,9,high,9 readiness item(s) block 007B entry.,diagnose-index-source -> update-index-data -> compute-etf-metrics; run update-index-data only after source diagnostics pass; fix schema or rerun update-index-data with normalized index output,usable_benchmark_count;index_cache_exists;index_cache_schema_valid;index_data_fetch_success;overlap_days_available;tracking_error_computable_count;relative_return_computable_count;index_source_network_available,007B readiness aggregation
warning_items,0,info,0 readiness warning item(s) remain.,no action,,warnings do not override hard blockers
blocker_type:benchmark_dependency,1,high,1 blocking item(s) have blocker_type=benchmark_dependency.,do not enter 007B until at least one confirmed benchmark has a schema-valid index cache,usable_benchmark_count,grouped 007B blockers
blocker_type:index_cache_missing,2,high,2 blocking item(s) have blocker_type=index_cache_missing.,create real index cache via update-index-data; do not write placeholder cache; validate required OHLCV/index columns before ETF metrics consume the cache,index_cache_exists;index_cache_schema_valid,grouped 007B blockers
blocker_type:insufficient_overlap,1,high,1 blocking item(s) have blocker_type=insufficient_overlap.,compute ETF metrics only after ETF cache and schema-valid benchmark cache overlap,overlap_days_available,grouped 007B blockers
blocker_type:metric_unavailable,2,high,2 blocking item(s) have blocker_type=metric_unavailable.,tracking_error remains forbidden until real benchmark-relative metric coverage is positive; relative_return remains forbidden until real benchmark-relative metric coverage is positive,tracking_error_computable_count;relative_return_computable_count,grouped 007B blockers
blocker_type:source_fetch_failed,1,high,1 blocking item(s) have blocker_type=source_fetch_failed.,rerun source diagnostics in network/proxy-enabled environment before updating index cache,index_data_fetch_success,grouped 007B blockers
blocker_type:source_network,2,high,2 blocking item(s) have blocker_type=source_network.,run diagnose-index-source in a network/proxy-enabled environment; fix EastMoney proxy/network path or use another source that produces schema-valid cache,index_source_network_available;eastmoney_proxy_failure,grouped 007B blockers
unlock_priority:P0_get_index_cache,9,high,9 ETF/index mapping row(s) have unlock_priority=P0_get_index_cache.,"run diagnose-index-source, then update-index-data in network/proxy-enabled environment; run diagnose-index-source, then update-index-data in network/proxy-enabled environment; run diagnose-index-source, then update-index-data in network/proxy-enabled environment",159915;159928;510300;510500;510880;512100;512480;512880,ETF-level unlock plan aggregation
unlock_priority:P3_manual_review,41,info,41 ETF/index mapping row(s) have unlock_priority=P3_manual_review.,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark; confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark; confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,159001;159003;159005;159007;159008;159009;159010;159013,ETF-level unlock plan aggregation
