summary_item,count,severity,finding,suggested_action,examples,notes
blocking_items,11,high,11 readiness item(s) require action before 008B.,"clear short-history/manual-review/no-used-factor blockers, then rerun build-candidate-gate; fix source coverage, short-history bias, no-used-factors, and factor coverage, then rerun compute-factor-score; improve factor source coverage and rerun compute-factor-score",candidate_eligible_count;factor_gate_status;min_computable_ratio;max_unable_to_score_ratio;short_history_bias,008B readiness aggregation
warning_items,3,warning,3 readiness warning item(s) should be resolved or accepted explicitly.,"update ETF metadata, verify coverage, then review config/factor_score.yaml; update ETF metadata, verify coverage, then review config/factor_score.yaml; update-etf-metadata and verify coverage; config review required before enabling",fund_size_dependency;management_fee_dependency;metadata_dependency,008B readiness aggregation
blocker_type:benchmark_dependency,2,high,2 blocking item(s) have blocker_type=benchmark_dependency.,build schema-valid benchmark/index cache before enabling benchmark-relative factors; build schema-valid benchmark/index cache before enabling benchmark-relative factors,tracking_error_dependency;relative_return_dependency,grouped blocking readiness items
blocker_type:candidate_gate,1,high,1 blocking item(s) have blocker_type=candidate_gate.,do not form candidates until candidate gate has eligible rows,candidate_eligible_count,grouped blocking readiness items
blocker_type:coverage,2,high,2 blocking item(s) have blocker_type=coverage.,Keep factor score as an observation report until broad enough coverage exists.; Raise source coverage and sample size before entering ETF-GAP-008B.,min_computable_ratio;factor_coverage_minimum,grouped blocking readiness items
blocker_type:factor_gate,1,high,1 blocking item(s) have blocker_type=factor_gate.,keep factor score observation-only until all blocking gate rows pass,factor_gate_status,grouped blocking readiness items
blocker_type:manual_review,1,high,1 blocking item(s) have blocker_type=manual_review.,complete manual review; do not auto-unblock suspicious rows,manual_review_required,grouped blocking readiness items
blocker_type:nav_iopv_dependency,1,high,1 blocking item(s) have blocker_type=nav_iopv_dependency.,add trusted NAV or IOPV source; exchange prices alone cannot create discount/premium,discount_premium_dependency,grouped blocking readiness items
blocker_type:no_used_factors,2,high,2 blocking item(s) have blocker_type=no_used_factors.,"Treat no_used_factors as unscoreable, not as a low score.; restore genuine factor evidence; never fill missing indicators with zero",max_unable_to_score_ratio;no_used_factors,grouped blocking readiness items
blocker_type:short_history,1,high,1 blocking item(s) have blocker_type=short_history.,Require enough price history before producing an independent candidate strategy.,short_history_bias,grouped blocking readiness items
