symbol,name,tracking_index_code,tracking_index_name,mapping_method,mapping_confidence,usable_as_benchmark,index_cache_exists,index_cache_schema_valid,index_fetch_success,benchmark_status,etf_metrics_status,tracking_error_status,relative_return_status,required_action,unlock_priority,eligible_for_007b_after_unlock,notes
159915,创业板ETF易方达,399006,创业板指,config_manual,0.9500,True,False,False,False,no_index_cache,unable_to_compute,no_index_cache,no_index_cache,"run diagnose-index-source, then update-index-data in network/proxy-enabled environment",P0_get_index_cache,True,network/proxy source action required; eligible for small-scope 007B only after real schema-valid benchmark cache exists
159928,消费ETF汇添富,000932,中证主要消费,config_manual,0.9000,True,True,True,True,benchmark_cache_ready,ok,ok,ok,confirmed mapping and valid cache are present; compute ETF metrics before 007B scope decision,no_action,True,network/proxy source action required
510300,沪深300ETF华泰柏瑞,000300,沪深300,config_manual,0.9500,True,True,True,True,benchmark_cache_ready,ok,ok,ok,confirmed mapping and valid cache are present; compute ETF metrics before 007B scope decision,no_action,True,network/proxy source action required
510500,中证500ETF南方,000905,中证500,config_manual,0.9500,True,True,True,True,benchmark_cache_ready,ok,ok,ok,confirmed mapping and valid cache are present; compute ETF metrics before 007B scope decision,no_action,True,network/proxy source action required
510880,红利ETF华泰柏瑞,000015,上证红利,config_manual,0.9000,True,True,True,True,benchmark_cache_ready,ok,ok,ok,confirmed mapping and valid cache are present; compute ETF metrics before 007B scope decision,no_action,True,network/proxy source action required
512100,中证1000ETF南方,000852,中证1000,config_manual,0.9500,True,True,True,True,benchmark_cache_ready,ok,ok,ok,confirmed mapping and valid cache are present; compute ETF metrics before 007B scope decision,no_action,True,network/proxy source action required
512480,半导体ETF国联安,931865,中证全指半导体产品与设备,config_manual,0.8500,True,False,False,False,no_index_cache,unable_to_compute,no_index_cache,no_index_cache,"run diagnose-index-source, then update-index-data in network/proxy-enabled environment",P0_get_index_cache,True,network/proxy source action required; eligible for small-scope 007B only after real schema-valid benchmark cache exists
512880,证券ETF国泰,399975,中证全指证券公司,config_manual,0.9000,True,True,True,True,benchmark_cache_ready,ok,ok,ok,confirmed mapping and valid cache are present; compute ETF metrics before 007B scope decision,no_action,True,network/proxy source action required
588000,科创50ETF华夏,000688,科创50,config_manual,0.9500,True,False,False,False,no_index_cache,unable_to_compute,no_index_cache,no_index_cache,"run diagnose-index-source, then update-index-data in network/proxy-enabled environment",P0_get_index_cache,True,network/proxy source action required; eligible for small-scope 007B only after real schema-valid benchmark cache exists
159001,货币ETF易方达,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_benchmark,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
159003,招商快线ETF,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_etf_cache,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
159005,快钱ETF汇添富,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_etf_cache,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
159007,养殖ETF华泰柏瑞,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_benchmark,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
159008,证券ETF景顺,399975,中证全指证券公司,name_inferred,0.6000,False,True,True,True,mapping_unconfirmed,unable_to_compute,missing_benchmark,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,network/proxy source action required; not a hard benchmark mapping
159009,创业板新能源ETF易方达,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_benchmark,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
159010,港股通科技ETF博时,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_etf_cache,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
159013,工业互联网ETF大成,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_benchmark,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
159015,恒生港股通科技ETF国联,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_etf_cache,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
159016,证券ETF广发,399975,中证全指证券公司,name_inferred,0.6000,False,True,True,True,mapping_unconfirmed,unable_to_compute,missing_etf_cache,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,network/proxy source action required; not a hard benchmark mapping
159017,石油ETF工银,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_benchmark,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
159018,石油ETF广发,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_benchmark,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
159019,石油ETF华宝,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_benchmark,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
159020,养殖ETF易方达,unable_to_confirm,unable_to_confirm,unable_to_confirm,0.0000,False,False,False,False,mapping_unconfirmed,unable_to_compute,missing_benchmark,missing_benchmark,confirm ETF-to-benchmark mapping; name_inferred/unable_to_confirm cannot be a hard benchmark,P3_manual_review,False,not a hard benchmark mapping
